Advertiser,Network,Flight,Period,Media Cost,Served Imps,Reach,Clicks,CTR,CPC,CPM,Conversions,CVR,CPA,Revenue,ROAS,Currency
GlobalCo,Facebook,Brand Awareness,Mar-24,465000.00,5100000,3200000,102000,2.00,4.56,91.18,2400,2.35,193.75,4800000.00,10.32,INR
GlobalCo,FB Ads,Performance,Mar-24,272000.00,2380000,1540000,74800,3.14,3.64,114.29,1650,2.21,164.85,3200000.00,11.76,INR
GlobalCo,Instagram,Stories Retargeting,Mar-24,153000.00,1270000,840000,35700,2.81,4.29,120.47,740,2.07,206.76,1750000.00,11.44,INR
GlobalCo,IG Stories,Prospecting,Mar-24,178000.00,1610000,1050000,43350,2.69,4.11,110.56,890,2.05,200.00,2100000.00,11.80,INR
GlobalCo,Meta,Broad Reach,Mar-24,76500.00,805000,520000,15300,1.90,5.00,95.03,340,2.22,225.00,850000.00,11.11,INR
GlobalCo,Google Adwords,Search Brand,Mar-24,204000.00,680000,680000,27200,4.00,7.50,300.00,1200,4.41,170.00,2800000.00,13.73,INR
GlobalCo,Google Ads,Search Generic,Mar-24,263500.00,1020000,1020000,41600,4.08,6.33,258.33,1570,3.77,167.83,3400000.00,12.90,INR
GlobalCo,GAdS,Competitor,Mar-24,127500.00,467000,467000,17850,3.82,7.14,272.99,640,3.59,199.22,1550000.00,12.16,INR
GlobalCo,TikTok,Creator Collab,Mar-24,340000.00,6800000,4500000,127500,1.88,2.67,50.00,1870,1.47,181.82,3800000.00,11.18,INR
GlobalCo,Tik Tok,Brand Challenge,Mar-24,212500.00,4250000,2800000,79688,1.88,2.67,50.00,1140,1.43,186.40,2400000.00,11.29,INR
GlobalCo,LinkedIn,B2B Retarget,Mar-24,297500.00,382500,210000,7650,2.00,38.89,777.78,467,6.10,636.94,2200000.00,7.39,INR
GlobalCo,LI,Sponsored Content,Mar-24,102000.00,153000,85000,3060,2.00,33.33,666.67,187,6.11,545.45,920000.00,9.02,INR
GlobalCo,Snapchat,AR Lens,Mar-24,153000.00,2975000,1950000,51000,1.71,3.00,51.43,680,1.33,225.00,1650000.00,10.78,INR
GlobalCo,Snap,Story Ads,Mar-24,76500.00,1530000,1000000,26500,1.73,2.89,50.00,340,1.28,225.00,820000.00,10.72,INR
